emp_no,first_name,last_name,salary
10854,Jagoda,Nannarelli,40000
10867,Billur,Gyorkos,40000
10873,Sukumar,Wegerle,65835
10927,Gal,Scallan,51819
10927,Gal,Scallan,51819
10944,Remko,Zyda,42872
10947,Gor,Usery,43068
10947,Gor,Usery,43068
10969,Premal,Noriega,40000
10985,Chiradeep,Furedi,40000
11009,Alper,Axelband,75111
11009,Alper,Axelband,75111
11019,Leon,Huttel,69387
11019,Leon,Huttel,69387
11028,Miyeon,Krider,41111
11028,Miyeon,Krider,41111
11048,Jaques,Demke,65697
11051,Przemyslawa,Erol,40000
11051,Przemyslawa,Erol,40000
11064,Shawna,Vieri,48411
11064,Shawna,Vieri,48411
11064,Shawna,Vieri,48411
11070,Adib,Raney,40000
11070,Adib,Raney,40000
11077,Hideyuki,Merro,42983
11081,Barry,Boyle,65686
11081,Barry,Boyle,65686
11083,Shimshon,Ducloy,90972
11083,Shimshon,Ducloy,90972
11085,Hailing,Thummel,66437
11091,Souichi,Ramsay,76253
11098,Arnd,Covnot,40000
11110,Valeska,Birjandi,43063
11111,Udi,Zastre,49777
11112,Boaz,Mukaidono,40000
11114,Tse,Felcyn,42370
11119,Ramzi,Luga,40000
11170,Minghong,Cannard,44531
11177,Chrisa,dAstous,40000
11203,Sakthirel,Yetto,68049
11203,Sakthirel,Yetto,68049
11204,Diederik,Covnot,40000
11207,Saeed,Gips,49728
11232,Hidefumi,Crelier,43863
11232,Hidefumi,Crelier,43863
11233,Sanjit,Waschkowski,46070
11233,Sanjit,Waschkowski,46070
11251,Bezalel,Chinal,69432
11251,Bezalel,Chinal,69432
11253,Koldo,Pokrovskii,40000
11253,Koldo,Pokrovskii,40000
11258,Aris,Maccarone,40000
11258,Aris,Maccarone,40000
11267,Shaunak,Zaumen,65990
11291,Gino,Glowinski,54307
11292,Souichi,Sichman,40000
11292,Souichi,Sichman,40000
11294,Tru,Segond,43768
11294,Tru,Segond,43768
11294,Tru,Segond,43768
11343,Susanne,Erez,43306
11343,Susanne,Erez,43306
11347,Anneli,Jonsson,41524
11347,Anneli,Jonsson,41524
11349,Yurii,Hammerschmidt,46356
11349,Yurii,Hammerschmidt,46356
11365,Toshimi,Shinomoto,56463
11393,Junsik,Junot,40000
11393,Junsik,Junot,40000
11406,Eberhardt,Gini,71834
11406,Eberhardt,Gini,71834
11414,Eishiro,Pearson,76725
11414,Eishiro,Pearson,76725
11415,Sanjiv,Anido,40000
11468,Navin,Maksimenko,85983
11479,Shridhar,Pleszkun,78157
11515,Ulf,Basawa,70182
11554,Subhash,Taubenfeld,46065
11581,Patricio,Rosenbaum,46950
11581,Patricio,Rosenbaum,46950
11588,Kaijung,Panangaden,40000
11602,Somnath,Malabarba,58575
11602,Somnath,Malabarba,58575
11616,Zhilian,Brendel,41900
11616,Zhilian,Brendel,41900
11664,Oksana,Brizzi,70380
11693,Hideo,Coorg,70403
11735,Amalendu,Picci,40000
11735,Amalendu,Picci,40000
11756,Abdelwaheb,Vakili,59493
11765,Zorica,Junet,40000
11765,Zorica,Junet,40000
11770,Arumugam,Jakobus,40000
11770,Arumugam,Jakobus,40000
11779,Shunichi,Thombley,40000
11801,Tommaso,Dayang,67265
11801,Tommaso,Dayang,67265
11805,Rosine,Grandbois,40000
11811,Herb,Boissier,52695
11811,Herb,Boissier,52695
11821,Mary,Piazza,50404
11822,Sastry,Madeira,67396
11862,Alejandra,Deville,46011
11862,Alejandra,Deville,46011
11868,Kwee,Demke,48349
11871,Nalini,Sommen,67424
11871,Nalini,Sommen,67424
11877,Heng,Sudkamp,50777
11883,Nectarios,Bhattacharjee,58135
11888,Badri,Azulay,53720
11888,Badri,Azulay,53720
11894,Mitchel,Validov,56198
11897,Cordelia,Setlzner,80049
11897,Cordelia,Setlzner,80049
11917,Jiakeng,VanScheik,40000
11931,Gunilla,Chiodo,73369
11931,Gunilla,Chiodo,73369
11951,Bernt,Haumacher,40000
11951,Bernt,Haumacher,40000
11951,Bernt,Haumacher,40000
11972,Sibyl,Beausoleil,52908
11980,Yechezkel,Pews,58241
12007,Marko,Dehkordi,40000
12007,Marko,Dehkordi,40000
12037,Arunas,Katzenelson,47805
12037,Arunas,Katzenelson,47805
12044,Rance,Hemaspaandra,40000
12047,Jordanka,Ligten,52051
12070,Ger,Shokrollahi,50233
12077,Steve,Hutton,50388
12077,Steve,Hutton,50388
12080,Panayotis,Feinberg,47946
12080,Panayotis,Feinberg,47946
12089,Bilhanan,Socorro,46288
12089,Bilhanan,Socorro,46288
12091,Lansing,Cunliffe,40000
12094,Weiru,Pearson,44788
12103,Becky,Erie,56188
12122,Satoru,Krone,46398
12122,Satoru,Krone,46398
12164,Muneo,Chachaty,43366
12205,Sushant,Rossi,40000
12213,Kwangho,Brizzi,79834
12213,Kwangho,Brizzi,79834
12247,Subbu,Penttonen,59183
12258,Kankanahalli,Eiter,40748
12258,Kankanahalli,Eiter,40748
12276,Yongmin,Lenart,59844
12276,Yongmin,Lenart,59844
12291,Masamitsu,Koyama,67506
12291,Masamitsu,Koyama,67506
12298,Tetsurou,Rodham,62015
12311,Susanne,Lubachevsky,40000
12317,Weiyi,Crabtree,40000
12327,DAIDA,Bruckman,67449
12327,DAIDA,Bruckman,67449
12328,Atilio,Prampolini,51299
12339,Pranay,Czaja,40000
12345,Xuedong,Mellouli,42222
12345,Xuedong,Mellouli,42222
12355,Vidar,Hutton,70724
12355,Vidar,Hutton,70724
12380,Menkae,Farrow,40000
12381,Amalendu,Klerer,42211
12381,Amalendu,Klerer,42211
12388,Arumugam,Hebert,40000
12394,Stevo,Reeken,40000
12411,Shao,Ibel,97610
12411,Shao,Ibel,97610
12421,Toshimi,Gulik,52691
12421,Toshimi,Gulik,52691
12452,Hiroyasu,Francisci,40000
12466,Cullen,Nations,65175
12468,Ioana,Baezner,41627
12470,Khue,Hinsberger,42070
12478,Yahiko,Hopewell,50404
12478,Yahiko,Hopewell,50404
12489,Arnould,Munck,63306
12497,Stein,Penz,81191
12497,Stein,Penz,81191
12501,Morrie,Matheson,76082
12504,Adly,Rosaz,40000
12506,Gay,Rodite,50229
12506,Gay,Rodite,50229
12509,Rutger,Krzyzanowski,40000
12509,Rutger,Krzyzanowski,40000
12514,Tomofumi,Melter,54241
12520,Goetz,Basart,40000
12528,Conor,Cincotta,40000
12528,Conor,Cincotta,40000
12534,Yongmao,Gerlach,66715
12540,Poornachandra,Bresenham,40000
12553,Aral,Vesna,40000
12563,Honesty,Ducloy,40000
12564,Remco,Nitsche,76772
12571,Abdelaziz,Candan,53163
12571,Abdelaziz,Candan,53163
12574,Mong,Gelosh,66284
12596,Breannda,Roisin,40000
12617,Shawna,Rusterholz,55663
12617,Shawna,Rusterholz,55663
12635,Xinyu,Restivo,40000
12635,Xinyu,Restivo,40000
12636,Yuuichi,Debuse,40000
12636,Yuuichi,Debuse,40000
12642,Suebskul,Gips,68271
12642,Suebskul,Gips,68271
12651,Pragnesh,Bael,75150
12656,Seshu,Morton,70030
12656,Seshu,Morton,70030
12664,Zhonghua,Parveen,40000
12678,Carrsten,Borovoy,44529
12694,Kazuhira,Luders,53019
12715,Honglan,Showalter,40000
12746,Heekeun,Lunn,63044
12746,Heekeun,Lunn,63044
12758,Hauke,Pashtan,51525
12761,Hitofumi,Schaad,62465
12761,Hitofumi,Schaad,62465
12775,Mariangiola,Berendt,69805
12775,Mariangiola,Berendt,69805
12798,Lillian,Beeson,81145
12798,Lillian,Beeson,81145
12799,Tiina,Businaro,42816
12803,Gad,Boissier,91789
12803,Gad,Boissier,91789
12821,Arco,Gihr,46727
12825,Sakthirel,Cannata,40000
12831,Maris,Baja,40000
12846,Krisda,Cyne,63962
12846,Krisda,Cyne,63962
12853,Mang,Brobst,47160
12853,Mang,Brobst,47160
12865,Katsuyuki,Rothe,64679
12881,Huai,Yurek,66390
12887,Hilari,DuBourdieux,40000
12887,Hilari,DuBourdieux,40000
12888,Martien,Erni,41673
12888,Martien,Erni,41673
12926,Heekeun,Luby,68314
12926,Heekeun,Luby,68314
12934,Adil,Solares,47274
12934,Adil,Solares,47274
12969,Mohan,Angot,59876
12969,Mohan,Angot,59876
12981,Maren,Merro,40000
12987,Youngkon,Kading,56823
12987,Youngkon,Kading,56823
13000,Adhemar,Chiodo,40000
13004,Fan,Beznosov,40000
13004,Fan,Beznosov,40000
13013,Heekeun,Baak,40000
13030,Yahiko,Kroll,51770
13030,Yahiko,Kroll,51770
13052,Aleksandar,Schlenzig,42693
13052,Aleksandar,Schlenzig,42693
13065,Zine,Schiper,58147
13065,Zine,Schiper,58147
13075,Rosella,Morrin,40000
13075,Rosella,Morrin,40000
13086,Dzung,Domenig,40000
13103,Srinidhi,Ellozy,40000
13146,Haldon,Erie,61398
13156,Akeel,Millington,48285
13156,Akeel,Millington,48285
13159,Jingling,Ranst,54536
13161,Manu,Picci,49733
13161,Manu,Picci,49733
13175,Yucai,Swick,65572
13175,Yucai,Swick,65572
13182,Kokou,Rodite,46832
13186,Kyoichi,Barbanera,93138
13186,Kyoichi,Barbanera,93138
13192,Rosita,Flowers,43986
13233,Alselm,Chvatal,49414
13233,Alselm,Chvatal,49414
13235,Taizo,Remmers,57427
13238,Ebru,Foote,40000
13238,Ebru,Foote,40000
13243,Fay,Huxford,67269
13272,Arun,Jiang,40000
13312,Filipp,Schurmann,53718
13320,Gino,Bahr,47422
13320,Gino,Bahr,47422
13329,Ottavia,Rissland,96912
13329,Ottavia,Rissland,96912
13371,Nakhoon,Riexinger,40000
13374,Atreye,Kalefeld,40000
13379,Kinh,Engelmann,52620
13379,Kinh,Engelmann,52620
13385,Claudi,Buchter,40000
13392,Fumitake,Beidas,69221
13392,Fumitake,Beidas,69221
13394,Anneke,Lorys,44631
13394,Anneke,Lorys,44631
13405,Randy,Baba,60799
13415,Nathalie,Speer,61838
13417,Dipayan,Condotta,53074
13417,Dipayan,Condotta,53074
13458,Feipei,Nivat,41375
13458,Feipei,Nivat,41375
13460,Yinghua,Gips,40000
13460,Yinghua,Gips,40000
13463,Theron,Berstel,40000
13463,Theron,Berstel,40000
13465,Sasan,Rehfuss,49821
13505,Chandrasekaran,Hambrick,46130
13520,Takahiro,Mahnke,46435
13520,Takahiro,Mahnke,46435
13521,Jaewoo,Tasistro,40000
13539,Cedric,Bala,54246
13539,Cedric,Bala,54246
13540,Cordelia,Krohn,82488
13552,Ingmar,Capobianchi,73346
13552,Ingmar,Capobianchi,73346
13591,Jinxi,Poulakidas,40000
13617,Prodip,Fioravanti,40000
13622,Tamiya,Juneja,63460
13622,Tamiya,Juneja,63460
13653,Kristen,Iivonen,53242
13653,Kristen,Iivonen,53242
13662,Tianruo,Zucker,66158
13662,Tianruo,Zucker,66158
13670,Moti,Takanami,40000
13693,Godehard,Merkl,40000
13697,Shuichi,Weedon,40000
13704,Vishu,Kumaresan,40000
13704,Vishu,Kumaresan,40000
13727,Vitali,Merey,50798
13772,Khalil,Klyachko,57288
13786,Takushi,Berendt,74494
13786,Takushi,Berendt,74494
13792,Valery,Sury,59127
13792,Valery,Sury,59127
13797,Juyoung,Leonhardt,54537
13797,Juyoung,Leonhardt,54537
13800,Nikolaus,Gammage,40000
13801,Shih,Mayerwieser,64182
13809,Kiyotoshi,Basagni,43735
13809,Kiyotoshi,Basagni,43735
13815,Guadalupe,Plotkin,40000
13815,Guadalupe,Plotkin,40000
13825,Arlette,Pell,54704
13838,Giao,Stellhorn,40000
13838,Giao,Stellhorn,40000
13875,Genta,Manders,40000
13883,Kwangyoen,Barreiro,40000
13911,Fen,Jansen,64188
13914,Serge,Albarhamtoshy,41526
13924,Mary,DasSarma,40000
13924,Mary,DasSarma,40000
13936,Tsz,Hambrick,47292
13943,Maya,Plump,87119
13943,Maya,Plump,87119
13946,Atilio,Sgarro,52426
13946,Atilio,Sgarro,52426
13972,Seongbin,Walston,49895
13990,Deborah,Schapiro,52723
13990,Deborah,Schapiro,52723
13992,Ulises,Kenevan,81318
13992,Ulises,Kenevan,81318
14038,Tokuyasu,Plesums,62982
14038,Tokuyasu,Plesums,62982
14051,Constantijn,Sullins,40000
14102,Feixiong,Jording,48200
14109,Vesna,Haldar,61804
14122,Masato,Erde,62343
14122,Masato,Erde,62343
14130,Yuuichi,Stroustrup,40000
14140,Kiam,Ramamoorthy,64727
14150,Yuqun,Akiyama,40000
14159,Theron,Marrakchi,64495
14214,True,Swen,49797
14217,Nimmagadda,Calkin,40000
14217,Nimmagadda,Calkin,40000
14232,Masali,Bojadziev,50568
14232,Masali,Bojadziev,50568
14233,Zijian,Blokdijk,40000
14233,Zijian,Blokdijk,40000
14234,Alair,Servi,59812
14236,Xuedong,Angiulli,40000
14254,Chikara,Narahara,50266
14281,Hidekazu,Stavenow,47391
14281,Hidekazu,Stavenow,47391
14285,Deborah,Peck,53317
14285,Deborah,Peck,53317
14289,Paraskevi,Gist,60863
14290,Miyeon,Olivero,78736
14329,Nikolaus,Bakhtari,46371
14359,Henk,Leslie,40000
14364,Remzi,Lund,56970
14388,Arch,Remmers,52022
14388,Arch,Remmers,52022
14395,Berni,Brizzi,58898
14398,Kristinn,Parascandalo,41978
14411,Hiroyasu,Validov,58151
14434,Elvis,Maginnis,40000
14439,Raimond,Woycyznski,80654
14439,Raimond,Woycyznski,80654
14446,Francoise,Rosen,66639
14446,Francoise,Rosen,66639
14460,Yagil,Lueh,56267
14460,Yagil,Lueh,56267
14490,Tran,Azulay,60770
14497,Armond,Molenkamp,55199
14498,Xiong,Selenyi,40000
14498,Xiong,Selenyi,40000
14502,Abdulla,Simkin,54596
14502,Abdulla,Simkin,54596
14533,Kensei,Borovoy,48376
14544,Licheng,Janetzko,104153
14544,Licheng,Janetzko,104153
14564,Tadahiro,Christ,62163
14572,Jasminko,Remmele,40000
14582,Kiyokazu,Morrin,40000
14600,Jayson,Cairo,41352
14610,Lijia,Merle,85426
14610,Lijia,Merle,85426
14621,Souichi,Wixon,66404
14621,Souichi,Wixon,66404
14639,Arvind,Hempstead,79405
14639,Arvind,Hempstead,79405
14640,Toshimori,Kornatzky,42662
14640,Toshimori,Kornatzky,42662
14655,Jingling,Segond,65742
14655,Jingling,Segond,65742
14700,Ghassan,Taneja,47864
14723,Constantino,Assaf,40000
14723,Constantino,Assaf,40000
14732,Heejo,Ohori,52144
14732,Heejo,Ohori,52144
14746,Uri,Baalen,46307
14746,Uri,Baalen,46307
14751,Kazunori,Shackel,42780
14763,Ayakannu,Hedayat,40000
14791,Magy,Garrabrants,40000
14798,Souichi,Giveon,40000
14803,Faiza,Rodite,40000
14814,Odysseas,Nishimukai,40000
14814,Odysseas,Nishimukai,40000
14815,Valeri,Vanwelkenhuysen,40000
14846,Magy,Joslin,40002
14846,Magy,Joslin,40002
14854,Angus,Perko,48875
14854,Angus,Perko,48875
14889,Subhash,Solovay,52734
14902,Basant,Zaccaria,40000
14914,Gretta,Benzaken,40000
14915,Huican,Picco,40733
14920,Billur,Eugenio,40000
14920,Billur,Eugenio,40000
14930,Faiza,Yetim,42712
14936,Yuqun,Demian,40000
14966,Zhanqiu,Underwood,80123
14971,Fan,Simmen,55187
14973,Fumitaka,Schaad,63316
14983,Hyuckchul,Pouyioutas,86754
14983,Hyuckchul,Pouyioutas,86754
14987,Tiina,Demeyer,40719
15043,Christoph,Ventosa,104525
15049,Khun,Waymire,40000
15064,Wilmer,Comyn,83820
15064,Wilmer,Comyn,83820
15075,Radoslaw,Rijsenbrij,40000
15075,Radoslaw,Rijsenbrij,40000
15082,Guadalupe,Zirintsis,63024
15089,Giri,Coney,48594
15089,Giri,Coney,48594
15112,Anyuan,Heyers,44588
15112,Anyuan,Heyers,44588
15113,Zhiguo,Giaccio,62081
15114,Pantung,Honglei,40000
15129,Reinhard,Baalen,40000
15169,Sanjoy,Matteis,64912
15187,Gill,Heusch,43249
15193,Neelam,Schach,47039
15204,Garnik,Ouhyoung,40000
15205,Cheong,Rodiger,43795
15207,Toshimitsu,Baik,44839
15208,Sudharsan,Shokrollahi,44109
15208,Sudharsan,Shokrollahi,44109
15237,Reinhard,Sadowsky,40000
15237,Reinhard,Sadowsky,40000
15252,Koichi,Skrikant,51572
15263,Sanjeeva,Loncour,72318
15263,Sanjeeva,Loncour,72318
15272,Aruna,Choobineh,40000
15272,Aruna,Choobineh,40000
15274,Sadun,Alblas,40000
15283,Lenore,Kermarrec,50063
15295,Lobel,Peak,54607
15319,Rafols,Sankaranarayanan,40000
15319,Rafols,Sankaranarayanan,40000
15321,Ishfaq,Gecsel,40000
15321,Ishfaq,Gecsel,40000
15324,Ziya,Lunn,40000
15324,Ziya,Lunn,40000
15324,Ziya,Lunn,40000
15329,Fan,Openshaw,41839
15330,Jaroslava,Chinal,53020
15330,Jaroslava,Chinal,53020
15331,Guther,Legleitner,78519
15365,Mikhail,Schiettecatte,41309
15365,Mikhail,Schiettecatte,41309
15369,Premal,Penttonen,81954
15370,Chuanyi,Nilsson,67631
15377,Shugo,Aumann,50274
15377,Shugo,Aumann,50274
15382,Alassane,Siegrist,66083
15382,Alassane,Siegrist,66083
15410,Wilmer,Kushner,58123
15410,Wilmer,Kushner,58123
15411,Seongbin,Morrin,40000
15422,Vesna,Wolniewicz,64396
15424,Tremaine,Fontet,40000
15452,Kazuhira,Weedman,40000
15461,Marsha,Gronowski,54875
15470,Weiwu,Huhdanpaa,40693
15474,Gilbert,Plumb,90430
15479,Zhenbing,Soicher,40000
15479,Zhenbing,Soicher,40000
15488,Reuven,Gimbel,40356
15512,Mitsuyuki,Waymire,59369
15532,Bangqing,Lalonde,53298
15532,Bangqing,Lalonde,53298
15539,Shigeichiro,Spieker,47803
15539,Shigeichiro,Spieker,47803
15583,Kasidit,Denny,85961
15583,Kasidit,Denny,85961
15637,Vincent,Barinka,73742
15637,Vincent,Barinka,73742
15650,Pascal,Bail,45913
15651,Huan,Iwayama,50313
15651,Huan,Iwayama,50313
15651,Huan,Iwayama,50313
15653,Kiam,Nannarelli,54720
15662,Shooichi,Danner,40000
15668,Zito,Juneja,40000
15683,Shaunak,Hanratty,60987
15684,Valeska,Babb,40000
15684,Valeska,Babb,40000
15728,Jaewon,Nooteboom,40000
15728,Jaewon,Nooteboom,40000
15739,Poorav,Bahr,54605
15744,Udaiprakash,Solovay,41115
15744,Udaiprakash,Solovay,41115
15819,Magdalena,Rajcani,63847
15819,Magdalena,Rajcani,63847
15847,Shawna,Gniady,40000
15855,Xiaoqiu,Brookman,40000
15855,Xiaoqiu,Brookman,40000
15861,Gio,Anido,50890
15861,Gio,Anido,50890
15901,Marsja,Fargier,40000
15901,Marsja,Fargier,40000
15944,Murthy,Mahmud,45281
15945,Hauke,Larfeldt,57717
15945,Hauke,Larfeldt,57717
15946,Sham,Onuegbe,70769
15958,Fumino,Vidya,86432
15967,Ohad,Klyachko,74527
15967,Ohad,Klyachko,74527
15971,Arumugam,Aloia,42963
16000,Marek,Demos,40000
16000,Marek,Demos,40000
16005,Udo,Sundgren,69484
16005,Udo,Sundgren,69484
16028,JiYoung,Takkinen,53714
16028,JiYoung,Takkinen,53714
16052,Maria,Rodham,40000
16052,Maria,Rodham,40000
16068,Leandro,Zongker,53031
16068,Leandro,Zongker,53031
16086,Mohammad,Denos,42903
16086,Mohammad,Denos,42903
16086,Mohammad,Denos,42903
16096,Mayuko,Wallrath,41514
16096,Mayuko,Wallrath,41514
16118,Arno,Gimarc,40000
16118,Arno,Gimarc,40000
16120,Domenico,Harllee,80251
16120,Domenico,Harllee,80251
16130,Kerryn,Belinskaya,40000
16130,Kerryn,Belinskaya,40000
16149,Ennio,Luit,55398
16149,Ennio,Luit,55398
16151,Alenka,Axelband,40000
16218,Lidong,Hambrick,40000
16234,Jacopo,Basart,40000
16234,Jacopo,Basart,40000
16270,Khoa,Thorelli,71078
16272,Shuho,Zeleznik,40000
16272,Shuho,Zeleznik,40000
16272,Shuho,Zeleznik,40000
16274,Sadun,Navazio,65521
16274,Sadun,Navazio,65521
16301,Yurii,Molenkamp,50704
16302,Bedir,Speek,40000
16311,Chinhyun,Baik,40000
16313,Charmane,Wilfing,40935
16314,Kamakshi,Ravishankar,56634
16355,Nikolaos,Luca,80403
16355,Nikolaos,Luca,80403
16364,Yifei,Gini,73503
16364,Yifei,Gini,73503
16381,Phuoc,Naumovich,71792
16384,Dmitry,Heuser,44031
16392,Danae,Keustermans,41016
16397,Shimshon,Cusworth,66757
16397,Shimshon,Cusworth,66757
16415,Subhash,Ohori,61617
16415,Subhash,Ohori,61617
16433,Werner,Chelton,40000
16438,Abdulla,Demeyer,52449
16438,Abdulla,Demeyer,52449
16447,Zhiguo,Savasere,40000
16447,Zhiguo,Savasere,40000
16448,Tsvetan,Zwicker,76979
16448,Tsvetan,Zwicker,76979
16452,Weiye,Tsukune,43944
16452,Weiye,Tsukune,43944
16457,Gudjon,DiGiano,56830
16457,Gudjon,DiGiano,56830
16463,Fuqing,Denna,72579
16481,Tadahiko,Rothe,63974
16481,Tadahiko,Rothe,63974
16482,Dinkar,Pettit,40000
16486,Sanjay,Perin,57496
16486,Sanjay,Perin,57496
16491,Emdad,Radwan,40000
16491,Emdad,Radwan,40000
16504,Mong,Cromarty,40000
16526,Saeko,Coorg,40000
16530,Martina,Ozeri,40000
16531,Shounak,Ponthieu,45838
16539,Gretta,Fetvedt,40000
16539,Gretta,Fetvedt,40000
16556,Mostafa,Hiltgen,53954
16577,Lidong,McFarlan,55076
16578,Krassimir,Luef,40000
16586,Uno,Peyn,40000
16586,Uno,Peyn,40000
16608,Boguslaw,Greibach,40000
16622,Yifei,Herbst,40000
16669,Youpyo,Harnett,52669
16669,Youpyo,Harnett,52669
16695,Chaosheng,Thiran,63658
16716,Ramachenga,Zumaque,54270
16716,Ramachenga,Zumaque,54270
16719,Sasan,Benantar,40000
16719,Sasan,Benantar,40000
16723,Mohd,Randt,56932
16723,Mohd,Randt,56932
16776,Gil,Azevdeo,40000
16783,Takahira,Spataro,40000
16783,Takahira,Spataro,40000
16789,Bluma,Salinas,88972
16832,Mads,Binkley,51405
16832,Mads,Binkley,51405
16858,Akeno,Gustavson,67670
16858,Akeno,Gustavson,67670
16869,Yakkov,Huttel,40000
16869,Yakkov,Huttel,40000
16894,Francesca,Smeets,40000
16895,Dines,Murtagh,41387
16895,Dines,Murtagh,41387
16915,Xianlong,Candan,57109
16915,Xianlong,Candan,57109
16917,Olivera,Peron,51984
16917,Olivera,Peron,51984
16929,Murthy,Burnard,52679
16929,Murthy,Burnard,52679
16950,Mads,Gien,40540
16954,Akhilish,Apsitis,47943
16954,Akhilish,Apsitis,47943
16962,Sastry,Kaiser,83797
16996,Shigenori,Millington,77644
17014,Sadun,Waterhouse,53876
17014,Sadun,Waterhouse,53876
17046,Fay,Kornyak,44955
17046,Fay,Kornyak,44955
17089,Rafail,Erman,67779
17089,Rafail,Erman,67779
17092,Atreye,Lalonde,40000
17118,Marke,Felder,50753
17118,Marke,Felder,50753
17126,Matk,Schapire,40000
17126,Matk,Schapire,40000
17128,Wuxu,Baba,46832
17128,Wuxu,Baba,46832
17129,Berthier,Bhattacharjee,40000
17141,Ingmar,Kadhim,44827
17154,Aria,Milicia,40000
17157,Kristian,Ghandeharizadeh,42856
17157,Kristian,Ghandeharizadeh,42856
17160,Shay,Montemayor,49824
17162,Jessie,Keohane,53213
17172,Conrado,Riexinger,62280
17172,Conrado,Riexinger,62280
17179,Kellyn,Angel,42835
17200,Mostafa,Chiola,68977
17200,Mostafa,Chiola,68977
17214,Danel,Angelov,70041
17215,Junichi,Langford,47977
17215,Junichi,Langford,47977
17245,Neven,Milicia,81426
17268,Sven,Luef,49079
17268,Sven,Luef,49079
17329,Shaunak,Tyugu,58239
17334,Ayonca,Luby,70117
17352,Muneo,Katiyar,71029
17352,Muneo,Katiyar,71029
17355,Mingzeng,Weisert,40000
17355,Mingzeng,Weisert,40000
17364,Xuejun,Mikschl,40000
17386,Hilary,Lamba,40000
17387,Shir,Serra,49554
17391,Selwyn,Pews,60230
17391,Selwyn,Pews,60230
17414,Mototsugu,Gihr,40000
17415,Shaleah,Bernatsky,54112
17415,Shaleah,Bernatsky,54112
17419,Lucien,Piancastelli,40000
17423,Adly,Demir,78956
17466,Yagil,Peron,40000
17466,Yagil,Peron,40000
17472,Murthy,Verhoeff,40000
17472,Murthy,Verhoeff,40000
17483,Sudhanshu,Zolotykh,56090
17483,Sudhanshu,Zolotykh,56090
17488,Leah,Billingsley,63543
